DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,11:01:57,1630234907,A675931302,MANUAL,0.1
2021-08-29,11:01:59,1630234908,A675941303,MANUAL,0.0
2021-08-29,11:02:00,1630234909,A675951304,MANUAL,-1.3
2021-08-29,11:02:01,1630234902,A675961305,MANUAL,-0.5
2021-08-29,11:02:02,1630234902,A675971306,MANUAL,-0.0
2021-08-29,11:02:04,1630234903,A675981307,MANUAL,0.1
2021-08-29,11:02:05,1630234903,A675991308,MANUAL,-0.0
2021-08-29,11:02:06,1630234904,A676001309,MANUAL,0.2
2021-08-29,11:02:07,1630234903,A676011310,MANUAL,0.2
2021-08-29,11:02:08,1630234904,A676021311,MANUAL,-0.1
2021-08-29,11:02:10,1630234885,A676031312,MANUAL,-0.1
2021-08-29,11:02:11,1630234901,A676041313,MANUAL,0.9
2021-08-29,11:02:12,1630234902,A676051314,MANUAL,-0.0
2021-08-29,11:02:14,1630234892,A676061315,MANUAL,0.2
2021-08-29,11:02:15,1630234893,A676071316,MANUAL,0.0
2021-08-29,11:02:16,1630234894,A676081317,MANUAL,-0.1
2021-08-29,11:02:17,1630234894,A676091318,MANUAL,-0.7
2021-08-29,11:02:18,1630234895,A676101319,MANUAL,0.8
2021-08-29,11:02:20,1630234892,A676111320,MANUAL,0.1
2021-08-29,11:02:21,1630234893,A676121321,MANUAL,-0.1
2021-08-29,11:02:26,1630234894,A676141323,MANUAL,0.0
2021-08-29,11:02:27,1630234894,A676151324,MANUAL,-0.1
2021-08-29,11:02:29,1630234878,A676161325,MANUAL,0.1
2021-08-29,11:02:30,1630234879,A676171326,MANUAL,-0.0
2021-08-29,11:02:31,1630234880,A676181327,MANUAL,0.8
2021-08-29,11:02:32,1630234880,A676191328,MANUAL,0.0
2021-08-29,11:02:33,1630234881,A676201329,MANUAL,0.3
2021-08-29,11:02:34,1630234875,A676211330,MANUAL,-0.5
2021-08-29,11:02:36,1630234876,A676221331,MANUAL,0.0
2021-08-29,11:02:37,1630234876,A676231332,MANUAL,-0.1
2021-08-29,11:02:38,1630234877,A676241333,MANUAL,0.0
2021-08-29,11:02:40,1630234878,A676251334,MANUAL,0.6
2021-08-29,11:02:41,1630234874,A676261335,MANUAL,0.7
2021-08-29,11:02:42,1630234874,A676271336,MANUAL,0.2
2021-08-29,11:02:44,1630234875,A676281337,MANUAL,-0.1
2021-08-29,11:02:45,1630234876,A676291338,MANUAL,0.1
2021-08-29,11:02:49,1630234836,A676311340,MANUAL,-0.2
2021-08-29,11:02:51,1630234836,A676321341,MANUAL,0.1
2021-08-29,11:02:52,1630234837,A676331342,MANUAL,0.0
2021-08-29,11:02:53,1630234838,A676341343,MANUAL,0.3
2021-08-29,11:02:54,1630234839,A676351344,MANUAL,0.1
2021-08-29,11:02:56,1630234837,A676361345,MANUAL,-0.0
2021-08-29,11:02:57,1630234838,A676371346,MANUAL,4.0
2021-08-29,11:03:02,1630234838,A676391348,MANUAL,0.4
2021-08-29,11:03:03,1630234788,A676401349,MANUAL,-0.0
2021-08-29,11:03:04,1630234836,A676411350,MANUAL,-0.6
2021-08-29,11:03:05,1630234836,A676421351,MANUAL,-0.0
2021-08-29,11:03:06,1630234837,A676431352,MANUAL,2.2
2021-08-29,11:03:07,1630234837,A676441353,MANUAL,0.1
2021-08-29,11:03:08,1630234838,A676451354,MANUAL,-0.5
2021-08-29,11:03:09,1630234837,A676461355,MANUAL,0.6
2021-08-29,11:03:10,1630234837,A676471356,MANUAL,0.0
2021-08-29,11:03:12,1630234838,A676481357,MANUAL,-0.2
2021-08-29,11:03:13,1630234839,A676491358,MANUAL,-1.7
2021-08-29,11:03:14,1630234840,A676501359,MANUAL,0.2
2021-08-29,11:03:15,1630234832,A676511360,MANUAL,0.0
2021-08-29,11:03:17,1630234833,A676521361,MANUAL,-0.0
2021-08-29,11:03:18,1630234834,A676531362,MANUAL,-0.4
2021-08-29,11:03:19,1630234834,A676541363,MANUAL,0.1
2021-08-29,11:03:20,1630234835,A676551364,MANUAL,-0.1
2021-08-29,11:03:21,1630234834,A676561365,MANUAL,1.2
2021-08-29,11:03:23,1630234835,A676571366,MANUAL,0.4
2021-08-29,11:03:25,1630234836,A676581367,MANUAL,-0.1
2021-08-29,11:03:26,1630234836,A676591368,MANUAL,-0.5
2021-08-29,11:03:27,1630234837,A676601369,MANUAL,0.0
2021-08-29,11:03:29,1630234807,A676611370,MANUAL,0.0
2021-08-29,11:03:30,1630235001,A676621371,MANUAL,-0.3
2021-08-29,11:13:40,1630235610,A675921301,MANUAL,-0.0
2021-08-29,11:13:41,1630235611,A675931302,MANUAL,0.0
2021-08-29,11:13:46,1630235616,A675951304,MANUAL,-1.3
2021-08-29,11:13:47,1630235608,A675961305,MANUAL,-0.5
2021-08-29,11:13:48,1630235609,A675971306,MANUAL,-0.0
2021-08-29,11:13:50,1630235610,A675981307,MANUAL,0.1
2021-08-29,11:13:51,1630235609,A675991308,MANUAL,0.0
2021-08-29,11:13:52,1630235610,A676001309,MANUAL,0.2
2021-08-29,11:13:53,1630235609,A676011310,MANUAL,0.2
2021-08-29,11:13:54,1630235610,A676021311,MANUAL,-0.2
2021-08-29,11:13:56,1630235591,A676031312,MANUAL,-0.1
2021-08-29,11:13:57,1630235608,A676041313,MANUAL,0.8
2021-08-29,11:13:59,1630235609,A676051314,MANUAL,0.0
2021-08-29,11:14:00,1630235599,A676061315,MANUAL,0.2
2021-08-29,11:14:01,1630235599,A676071316,MANUAL,0.0
2021-08-29,11:14:02,1630235600,A676081317,MANUAL,-0.1
2021-08-29,11:14:03,1630235600,A676091318,MANUAL,-0.7
2021-08-29,11:14:05,1630235601,A676101319,MANUAL,0.8
2021-08-29,11:14:06,1630235599,A676111320,MANUAL,0.1
2021-08-29,11:14:11,1630235514,A676131322,MANUAL,1.9
2021-08-29,11:14:12,1630235600,A676141323,MANUAL,0.1
2021-08-29,11:14:13,1630235601,A676151324,MANUAL,-0.1
2021-08-29,11:14:14,1630235584,A676161325,MANUAL,0.2
2021-08-29,11:14:16,1630235585,A676171326,MANUAL,0.0
2021-08-29,11:14:17,1630235585,A676181327,MANUAL,0.8
2021-08-29,11:14:18,1630235586,A676191328,MANUAL,0.0
2021-08-29,11:14:19,1630235587,A676201329,MANUAL,0.3
2021-08-29,11:14:20,1630235581,A676211330,MANUAL,-0.4
2021-08-29,11:14:22,1630235581,A676221331,MANUAL,0.0
